forskolin,replicate,luciferase_epi,luciferase_gen,renilla_epi
0.25,1,64505,1936,7951
1,1,335036,4616,7248
2,1,423348,6398,7609
4,1,415347,8578,7798
8,1,393421,8739,6862
16,1,390606,7635,7447
25,1,282121,6601,4893
0.25,2,84215,1447,8313
1,2,348172,3718,8008
2,2,408193,5067,7905
4,2,352318,6476,5530
8,2,411086,7941,7600
16,2,445466,7873,7996
25,2,420680,7081,7378
0.25,3,54961,1043,6397
1,3,392999,2851,7890
2,3,438035,4262,7798
4,3,356331,6569,5742
8,3,447133,6633,8762
16,3,401132,7735,7873
25,3,344772,7022,6242
0.25,4,67471,764,7938
1,4,367221,3002,7061
2,4,401839,4195,7541
4,4,428948,6091,7568
8,4,366359,7387,6314
16,4,329251,6808,5620
25,4,347894,6771,6723
0.25,5,58778,928,6384
1,5,351513,3632,8161
2,5,414185,5690,7960
4,5,316216,5785,5919
8,5,374833,6933,6521
16,5,349470,6979,6203
25,5,367592,5710,7014
0.25,6,66867,831,6979
1,6,402697,2633,8368
2,6,441163,5660,8851
4,6,425015,6825,8315
8,6,410560,8365,7182
16,6,377357,7053,7930
25,6,359037,6465,7113
